844,19042
-288,19073
-2040,19099
-2040,19125
-2040,19151
-1892,19179
-2040,19204
-2040,19233
-2040,19259
-1344,19286
-184,19314
68,19340
-128,19369
920,19393
1080,19417
672,19444
112,19471
-28,19496
-64,19525
1344,19551
1692,19579
1532,19606
2040,19630
1828,19656
1436,19685
432,19710
144,19737
160,19764
-696,19788
-700,19817
-308,19843
-332,19867
-440,19895
-772,19922
-1672,19949
-2040,19977
-2040,20002
-2040,20032
-2040,20056
-804,20086
-372,20111
1364,20140
156,20166
44,20193
672,20220
1548,20247
208,20275
-260,20299
-1312,20325
-2040,20354
-2040,20384
-2040,20409
-2040,20438
-1552,20484
-944,20510
-1028,20534
92,20560
-396,20587
-1568,20613
-2040,20641
-2040,20668
-2040,20692
-2040,20719
-232,20747
816,20771
1556,20796
1748,20824
2040,20850
2040,20875
908,20899
320,20925
132,20951
-2040,20978
-2040,21005
-2040,21033
-2040,21059
-2040,21088
-2040,21118
-1688,21148
-444,21173
-268,21202
-180,21228
-2040,21252
-2040,21279
-2040,21307
-2040,21331
-2040,21357
-2040,21386
316,21412
1224,21441
1196,21465
2040,21493
2040,21518
2040,21544
1388,21572
328,21599
-700,21623
-2040,21649
-2040,21676
-2040,21703
-2040,21727
-1864,21757
-1624,21787
-1140,21812
-628,21839
-684,21864
-604,21891
-1428,21918
-2040,21946
-2040,21972
-2040,22001
-2040,22025
-1008,22055
-316,22082
668,22109
1104,22135
2040,22163
2040,22189
2040,22216
584,22244
-1404,22270
-2040,22299
-2040,22325
-2040,22354
-2040,22378
-1336,22407
-1272,22433
-524,22461
168,22488
288,22515
-32,22543
-1076,22569
-2040,22597
-2040,22622
-2040,22650
-2040,22676
-228,22701
800,22725
1528,22752
1756,22777
1696,22804
1888,22831
2040,22881
568,22909
-1128,22935
-2040,22959
-2040,22986
-2040,23014
-1532,23038
-940,23064
-1052,23093
-720,23123
-332,23153
-576,23178
-1228,23207
-2040,23233
-2040,23257
-2040,23285
-2040,23312
-1164,23336
-120,23362
812,23387
1120,23415
1136,23441
1508,23470
1736,23499
2040,23525
1288,23553
324,23579
-348,23607
-2040,23634
-2040,23658
-1980,23685
-552,23713
-832,23737
-1360,23762
-1712,23792
-1908,23822
-1256,23847
-1208,23871
-1640,23899
-2040,23926
-2040,23950
-1252,23977
-320,24005
392,24029
1052,24055
1724,24084
1832,24110
2040,24138
2040,24163
2040,24191
2040,24218
1480,24246
1484,24272
-256,24299
-2040,24327
-2040,24353
-472,24382
-340,24412
-1248,24443
-1024,24467
-780,24496
-1268,24520
-1536,24546
-2040,24574
-2040,24601
-2040,24625
-812,24652
-696,24678
-356,24704
364,24729
2040,24756
2040,24783
2040,24808
2040,24832
1680,24860
-360,24887
-444,24911
-2040,24938
-2040,24966
-2040,24992
-1488,25017
-1496,25043
-1032,25069
600,25099
-20,25124
-2040,25148
-2040,25177
-2040,25203
-2040,25227
-380,25278
408,25302
1196,25328
2040,25356
2040,25383
2040,25408
2040,25433
944,25462
584,25487
-1172,25516
-2040,25546
-2040,25577
-2040,25601
-2040,25630
-2040,25656
-2040,25680
-1684,25708
-1380,25733
-1832,25759
-2040,25785
-2040,25814
-2040,25838
-1928,25863
-816,25887
-364,25911
292,25940
1436,25966
2040,25990
2040,26020
2040,26045
2040,26072
2040,26098
2040,26124
2040,26148
520,26173
-1104,26199
-172,26227
-1068,26256
-2040,26280
-2040,26306
-2040,26335
-2040,26361
-2040,26386
-1980,26412
-384,26441
380,26465
1352,26495
2040,26524
1796,26549
404,26574
1384,26599
2040,26625
2040,26651
1160,26678
1556,26704
2032,26733
456,26757
592,26782
976,26812
628,26841
140,26866
-312,26892
-808,26920
-1104,26946
-1408,26974
-1292,27001
-1460,27027
-1280,27056
-1024,27081
-188,27111
-92,27141
1044,27166
1932,27190
1728,27218
-524,27245
-1060,27269
-872,27296
-144,27324
-344,27348
-352,27374
836,27403
564,27427
272,27457
1080,27487
1296,27517
756,27542
-132,27570
-432,27597
